Level 1,Measure Names,Adjust Ad?,Ads Manager Link,Campaign Mission,Campaign Preview Link,Measure Values
120236433620940313,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,14919.860567093
120236433620940313,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,4.597361999
120236433620940313,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,0.006033283
120236433620940313,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,0.006561680
120236433620940313,% Found Attending Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,0.049868766
120236433620940313,People Baptized and Confirmed,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,5
120236433620940313,People Who Attended Sacrament,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,38
120236433620940313,New People Being Taught,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,163
120236433620940313,Cost Per Facebook Lead,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,28.856541859
120236433620940313,Ad Leads,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,2377
120236433620940313,People Found,-,https://business.facebook.com/adsmanager/manage/ads?act=930733667354652&selected_campaign_ids=120236433577910313&selected_adset_ids=120236433580760313&selected_ad_ids=120236433620940313&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Washington Everett Mission,,762
120245388619700206,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=5776816672360748&selected_campaign_ids=120245387159490206&selected_adset_ids=120245387180570206&selected_ad_ids=120245388619700206&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Canada Winnipeg Mission,,14774.546798222
120245388619700206,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=5776816672360748&selected_campaign_ids=120245387159490206&selected_adset_ids=120245387180570206&selected_ad_ids=120245388619700206&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,Canada Winnipeg Mission,,1.236586154
